id,provider,name,latitude,longitude,url,imageUrl
0c36a790-e455-4fcf-ab4a-5b0701724e0c,BonPrix,,,,/sklepy/bonprix/gazetka,""
0c74d606-a886-4933-928b-227e391c6d75,"Sekret Urody",,,,/sklepy/sekret-urody/gazetka,""
0cd7cddb-ca17-4d74-b31f-ef8c21e67fb7,"Cukiernia Sabinka",,,,/sklepy/cukiernia-sabinka/gazetka,""
0ce0a514-3f5a-4a6d-85cc-8397d1259747,"Ruch SA",,,,/sklepy/ruch-sa/gazetka,""
0ce23aa9-f539-42cb-ab1b-2a717b6427fc,"Grey Wolf",,,,/sklepy/grey-wolf/gazetka,""
0d555dbe-4239-4fbe-812b-7c13ba2700a6,Bee,,,,/sklepy/bee/gazetka,""
0d61bb7f-d4f6-4762-aa1f-14e7101a2bb8,"Blue Stop",,,,/sklepy/blue-stop/gazetka,""
0de73fe9-0a14-4761-a3d1-a719d6219e2e,Monnari,,,,/sklepy/monnari/gazetka,""
0df9badd-8c75-4a84-b49c-e2bba5c8463a,Swatch,,,,/sklepy/swatch/gazetka,""
0ef82748-c64b-41de-923a-67f3bb222c6e,"Lee Cooper",,,,/sklepy/lee-cooper/gazetka,""
0f01318c-4b66-4f95-a90a-86df4e13ab09,Rabat,,,,/sklepy/rabat/gazetka,""
0f059fe6-880c-4b58-a3b5-8a761411f322,Notino,,,,/sklepy/notino/gazetka,""
0f23bbbe-0cac-4b0d-9514-f7e6d7c06853,Calypso,,,,/sklepy/calypso/gazetka,""
0f86e86e-2665-41c3-a6fe-80f486974607,Teletorium,,,,/sklepy/teletorium/gazetka,""
0f8adbe5-3203-4158-a341-cda285a22ea2,Themar,,,,/sklepy/themar/gazetka,""
101394f3-a0e8-41cc-853f-d04f855abd8f,Martensy.pl,,,,/sklepy/martensy-pl/gazetka,""
103ad832-81b8-4353-b5c1-86bbbabe5f7b,"Gandalf Travel",,,,/sklepy/gandalf-travel/gazetka,""
1085ee78-df4c-4ec0-a032-ab8a9e6e977d,"Go Sport",,,,/sklepy/go-sport/gazetka,""
10ce1f38-797f-45a8-a832-3afb1af6495e,Tesco,,,,/sklepy/tesco/gazetka,""
110aa6de-22df-477a-bfe0-b0aacfdcc1fb,Asaj,,,,/sklepy/asaj/gazetka,""
1140cbb9-d3d6-441f-8baf-546bbd6f62a2,Neonet,,,,/sklepy/neonet/gazetka,""
115036a1-59f4-410b-9ca5-eed17cdae331,Blu,,,,/sklepy/blu/gazetka,""
117fa638-653f-4b91-aff0-e0ff1aba7ff9,"Fabryka Formy",,,,/sklepy/fabryka-formy/gazetka,""
1192eeef-92b2-4e7a-810d-7bd6bc6eef03,Finish,,,,/sklepy/finish/gazetka,""
11b1e271-5ba0-4175-9148-1d7514279d0c,Oryginalnebuty.pl,,,,/sklepy/oryginalnebutypl/gazetka,""
