id,name,productCount,marketId,marketProvider,categoryUrl
a11bf7e4-6355-4bbd-855b-87cb0e079071,"Soki, napoje",0,bd3c661b-0984-453d-9473-dc738c79c0bf,Spar,https://e-spar.com.pl/kategoria/soki-napoje/598
152081c7-c5cb-4741-af9d-5a19c566c827,Mięso Wołowe,0,bd3c661b-0984-453d-9473-dc738c79c0bf,Spar,https://e-spar.com.pl/kategoria/mieso-wolowe/937
5ee409db-3b49-4fd2-9e47-1420e379ac6a,"Szynki, wędzonki, blokowe",0,bd3c661b-0984-453d-9473-dc738c79c0bf,Spar,https://e-spar.com.pl/kategoria/szynki-wedzonki-blokowe/634
fa66523e-3d68-488e-aa4f-d1a97decbd2e,Wędliny i mięso,0,bd3c661b-0984-453d-9473-dc738c79c0bf,Spar,https://e-spar.com.pl/kategoria/wedliny-i-mieso/951
4d789801-64ec-4d8e-9635-9640b6d847de,Mięso Wieprzowe,0,bd3c661b-0984-453d-9473-dc738c79c0bf,Spar,https://e-spar.com.pl/kategoria/mieso-wieprzowe/958
301243e0-c7a8-4ab0-ace8-e96bcefcf156,Mrożone Owoce Morza,0,bd3c661b-0984-453d-9473-dc738c79c0bf,Spar,https://e-spar.com.pl/kategoria/mrozone-owoce-morza/659
075ef542-8231-4de8-b57d-48e51657a548,Mięso Drobiowe,0,bd3c661b-0984-453d-9473-dc738c79c0bf,Spar,https://e-spar.com.pl/kategoria/mieso-drobiowe/962
66051cb4-135b-408d-9bef-f5d3954a7589,Przetwory rybne,0,bd3c661b-0984-453d-9473-dc738c79c0bf,Spar,https://e-spar.com.pl/kategoria/przetwory-rybne/923
8cae26ed-f4a6-410e-9bbc-244d3fd9790a,"Owoce morza na wagę, świeże",0,bd3c661b-0984-453d-9473-dc738c79c0bf,Spar,https://e-spar.com.pl/kategoria/owoce-morza-na-wage-swieze/443
4fffbd79-1d09-46f9-a280-f25164ce01fe,"Pasztety, metki",0,bd3c661b-0984-453d-9473-dc738c79c0bf,Spar,https://e-spar.com.pl/kategoria/pasztety-metki/637
7e803147-ddd5-45d7-ae1a-7494bf7c0bf1,Salami,0,bd3c661b-0984-453d-9473-dc738c79c0bf,Spar,https://e-spar.com.pl/kategoria/salami/770
45f6ce8d-f10e-4d13-afc5-83dbe5006819,Owoce morza,0,bd3c661b-0984-453d-9473-dc738c79c0bf,Spar,https://e-spar.com.pl/kategoria/owoce-morza/319
ae1518de-4efe-4619-96c8-2d5bacae521b,Garmażerka rybna,0,bd3c661b-0984-453d-9473-dc738c79c0bf,Spar,https://e-spar.com.pl/kategoria/garmazerka-rybna/318
98a22851-5d88-4f2d-bf85-69abf0d624c1,Paczkowane Owoce Morza,0,bd3c661b-0984-453d-9473-dc738c79c0bf,Spar,https://e-spar.com.pl/kategoria/paczkowane-owoce-morza/444
3e259310-6bc7-44df-be28-fa542bc971c7,Konserwy rybne,0,bd3c661b-0984-453d-9473-dc738c79c0bf,Spar,https://e-spar.com.pl/kategoria/konserwy-rybne/321
e49c068d-cf0e-4e11-a8d6-ec11eb730868,Ryby wędzone,0,bd3c661b-0984-453d-9473-dc738c79c0bf,Spar,https://e-spar.com.pl/kategoria/ryby-wedzone/314
0a81b632-e308-482a-9860-5f29a2f35f49,Ryby mrożone,0,bd3c661b-0984-453d-9473-dc738c79c0bf,Spar,https://e-spar.com.pl/kategoria/ryby-mrozone/933
523dc161-02c2-44a5-bfe1-f06ce16b971f,Ryby surowe,0,bd3c661b-0984-453d-9473-dc738c79c0bf,Spar,https://e-spar.com.pl/kategoria/ryby-surowe/316
1b4d2fef-532c-407b-a428-cd9fbcf1d780,Rybne marynowane,0,bd3c661b-0984-453d-9473-dc738c79c0bf,Spar,https://e-spar.com.pl/kategoria/rybne-marynowane/312
a20708ba-6801-4095-99bc-c931eedef56e,Ryby Wędzone Na Wagę,0,bd3c661b-0984-453d-9473-dc738c79c0bf,Spar,https://e-spar.com.pl/kategoria/ryby-wedzone-na-wage/445
0cd94bf0-27c1-413e-a4bf-c2eaaa0d1c36,"Woda i napoje ",0,bd3c661b-0984-453d-9473-dc738c79c0bf,Spar,https://e-spar.com.pl/kategoria/woda-i-napoje/22
51566861-cf34-4784-8e66-495a97a03de2,Ryby mrożone,0,bd3c661b-0984-453d-9473-dc738c79c0bf,Spar,https://e-spar.com.pl/kategoria/ryby-mrozone/313
9779f815-3560-4e63-9919-6b4c6fa7cb9d,Sałatki rybne,0,bd3c661b-0984-453d-9473-dc738c79c0bf,Spar,https://e-spar.com.pl/kategoria/salatki-rybne/317
fa5b1333-a8a7-4ecd-9c35-efb74dc0ae14,Ryby Wędzone Paczkowane,0,bd3c661b-0984-453d-9473-dc738c79c0bf,Spar,https://e-spar.com.pl/kategoria/ryby-wedzone-paczkowane/446
9f838975-f9bb-4520-bfa9-9ce1d434d5cf,Energetyki i izotoniczne,0,bd3c661b-0984-453d-9473-dc738c79c0bf,Spar,https://e-spar.com.pl/kategoria/energetyki-i-izotoniczne/969
259908a4-fad3-4159-a8cd-91f2a0475059,Energetyki,0,bd3c661b-0984-453d-9473-dc738c79c0bf,Spar,https://e-spar.com.pl/kategoria/energetyki/549
b6a17319-1f1e-4a35-8142-cb2e4ccccaf7,Izotoniki,0,bd3c661b-0984-453d-9473-dc738c79c0bf,Spar,https://e-spar.com.pl/kategoria/izotoniki/844
c102c9f0-1dd8-411c-a92c-b915c0443b12,Napoje Niegazowane,0,bd3c661b-0984-453d-9473-dc738c79c0bf,Spar,https://e-spar.com.pl/kategoria/napoje-niegazowane/548
c21c516f-e499-45e9-8edf-164723238844,Inne Wody,0,bd3c661b-0984-453d-9473-dc738c79c0bf,Spar,https://e-spar.com.pl/kategoria/inne-wody/1134
3303137e-c24c-48c4-bc0d-41cdb72dfb71,Piwa bezalkoholowe,0,bd3c661b-0984-453d-9473-dc738c79c0bf,Spar,https://e-spar.com.pl/kategoria/piwa-bezalkoholowe/1141
8111ac40-8e79-4275-8f31-5caa633b3738,Napoje gazowane i niegazowane,0,bd3c661b-0984-453d-9473-dc738c79c0bf,Spar,https://e-spar.com.pl/kategoria/napoje-gazowane-i-niegazowane/546
07b59415-239a-4081-bc88-524a7c070d78,Granulaty,0,bd3c661b-0984-453d-9473-dc738c79c0bf,Spar,https://e-spar.com.pl/kategoria/granulaty/851
5281e24f-9cb4-46f7-b856-7cb6511f2956,"Soki, nektary",0,bd3c661b-0984-453d-9473-dc738c79c0bf,Spar,https://e-spar.com.pl/kategoria/soki-nektary/912
41fad043-7ce7-4ed4-b14c-99620f15cb62,Soki,0,bd3c661b-0984-453d-9473-dc738c79c0bf,Spar,https://e-spar.com.pl/kategoria/soki/541
ddf1911a-0730-4802-a8c6-8613ca204c9e,Woda Gazowana,0,bd3c661b-0984-453d-9473-dc738c79c0bf,Spar,https://e-spar.com.pl/kategoria/woda-gazowana/697
9e42968b-b064-42cc-9c76-d5c1f8c3f53d,Napoje Gazowane,0,bd3c661b-0984-453d-9473-dc738c79c0bf,Spar,https://e-spar.com.pl/kategoria/napoje-gazowane/547
5bf294b3-202e-45a4-920c-fa29d18ef88a,Woda Niegazowana,0,bd3c661b-0984-453d-9473-dc738c79c0bf,Spar,https://e-spar.com.pl/kategoria/woda-niegazowana/698
84a485f5-070d-4c40-9e20-adf95800f2fd,Nektary,0,bd3c661b-0984-453d-9473-dc738c79c0bf,Spar,https://e-spar.com.pl/kategoria/nektary/544
b3872c8b-81e2-42db-9b4b-cffc68918a15,Soki i napoje dla dzieci,0,bd3c661b-0984-453d-9473-dc738c79c0bf,Spar,https://e-spar.com.pl/kategoria/soki-i-napoje-dla-dzieci/1061
6b3b3752-31dd-4609-934a-12058bdd420c,Kuchnie świata,0,bd3c661b-0984-453d-9473-dc738c79c0bf,Spar,https://e-spar.com.pl/kategoria/kuchnie-swiata/776
ceac1079-3e16-4dd6-9684-c508b523116d,Wina bezalkoholowe,0,bd3c661b-0984-453d-9473-dc738c79c0bf,Spar,https://e-spar.com.pl/kategoria/wina-bezalkoholowe/1140
cf3edb13-11ab-4b1b-b1e4-8826510dda37,Kuchnia meksykańska,0,bd3c661b-0984-453d-9473-dc738c79c0bf,Spar,https://e-spar.com.pl/kategoria/kuchnia-meksykanska/892
c928f04c-225a-4261-9002-5631929588e2,Woda Lekko gazowana,0,bd3c661b-0984-453d-9473-dc738c79c0bf,Spar,https://e-spar.com.pl/kategoria/woda-lekko-gazowana/1049
c4bbed19-de6f-4429-bf37-a0ffa072324e,Kuchnia śródziemnomorska,0,bd3c661b-0984-453d-9473-dc738c79c0bf,Spar,https://e-spar.com.pl/kategoria/kuchnia-srodziemnomorska/891
97ef2a58-b271-4ef3-a597-5d6a499e4ad9,"Syropy, granulaty i tabletki",0,bd3c661b-0984-453d-9473-dc738c79c0bf,Spar,https://e-spar.com.pl/kategoria/syropy-granulaty-i-tabletki/964
56091c42-d4db-4969-b239-e8fa3c5cabe0,Syropy,0,bd3c661b-0984-453d-9473-dc738c79c0bf,Spar,https://e-spar.com.pl/kategoria/syropy/550
d8bd35de-b0ed-4528-b611-bf2537d233a7,Kuchnie świata,0,bd3c661b-0984-453d-9473-dc738c79c0bf,Spar,https://e-spar.com.pl/kategoria/kuchnie-swiata/149
c6e60d89-6379-474f-9df6-d4a491fbce30,Dania gotowe,0,bd3c661b-0984-453d-9473-dc738c79c0bf,Spar,https://e-spar.com.pl/kategoria/garmazerka-i-gastronomia/955
965a50d1-f30e-4c79-a787-7cec52c6cee2,Pozostałe,0,bd3c661b-0984-453d-9473-dc738c79c0bf,Spar,https://e-spar.com.pl/kategoria/pozostale/893
35a5aab2-ff2b-40b0-9ebe-220449d929f2,Przybory szkolne,0,bd3c661b-0984-453d-9473-dc738c79c0bf,Spar,https://e-spar.com.pl/kategoria/przybory-szkolne/1055
